# Weather station Yavatmal, India, WMO_ID=42943,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42943&lang=en
#
"Local time in Yavatmal";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.11.2017 17:30";"28.0";"719.7";"757.5";"";"60";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"32.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"22.11.2017 08:30";"24.0";"721.5";"759.9";"";"68";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"20.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.6";"";"";"";"";"";"";
"21.11.2017 17:30";"30.0";"720.3";"757.9";"";"38";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.2";"";"";"";"";"";"";
"21.11.2017 08:30";"24.4";"723.0";"761.4";"";"52";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"18.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.8";"";"";"";"";"";"";
"20.11.2017 17:30";"29.0";"720.3";"758.0";"";"47";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.4";"";"";"";"";"";"";
"20.11.2017 08:30";"25.4";"723.0";"761.3";"";"45";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"17.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.7";"";"";"";"";"";"";
"19.11.2017 17:30";"29.0";"719.0";"756.6";"";"52";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"19.11.2017 08:30";"26.0";"721.9";"760.1";"";"58";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"18.11.2017 17:30";"28.4";"719.6";"757.3";"";"51";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"18.11.2017 08:30";"26.4";"722.2";"760.3";"";"54";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
