# Weather station Bagati, India, WMO_ID=42714,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42714&lang=en
#
"Local time in Bagati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.11.2017 17:30";"30.5";"756.1";"757.1";"";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"20.3";"";"";"";"";"";"";
"09.11.2017 08:30";"25.5";"758.8";"759.8";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"10.0";"20.2";"";"";"";"";"";"";
"08.11.2017 17:30";"28.0";"757.2";"758.2";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"22.1";"";"";"";"";"";"";
"08.11.2017 08:30";"26.5";"759.3";"760.3";"";"84";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"19.5";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"07.11.2017 17:30";"27.5";"757.2";"758.2";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.8";"";"";"";"";"";"";
"07.11.2017 08:30";"27.0";"759.6";"760.6";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"22.6";"";"";"";"";"";"";
"06.11.2017 17:30";"28.0";"756.9";"757.9";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"21.1";"";"";"";"";"";"";
"06.11.2017 08:30";"26.0";"759.0";"760.0";"";"79";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"22.1";"";"";"";"";"";"";
"05.11.2017 17:30";"29.5";"755.4";"756.4";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"23.6";"";"";"";"";"";"";
"05.11.2017 08:30";"26.5";"756.6";"757.6";"";"81";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"04.11.2017 17:30";"29.0";"756.0";"757.0";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"23.2";"";"";"";"";"";"";
"04.11.2017 08:30";"23.5";"759.3";"760.3";"";"88";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"21.3";"";"";"";"";"";"";
"03.11.2017 17:30";"27.0";"757.5";"758.5";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"19.3";"";"";"";"";"";"";
"03.11.2017 08:30";"23.0";"760.8";"761.9";"";"83";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"02.11.2017 17:30";"26.5";"756.3";"757.3";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"21.3";"";"";"";"";"";"";
"02.11.2017 08:30";"23.5";"759.5";"760.6";"";"88";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"21.3";"";"";"";"";"";"";
"01.11.2017 17:30";"27.5";"757.6";"758.6";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"01.11.2017 08:30";"23.5";"759.9";"761.0";"";"89";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"20.5";"";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"31.10.2017 17:30";"26.0";"758.0";"759.0";"";"84";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"23.1";"";"";"";"";"";"";
"31.10.2017 08:30";"23.5";"759.8";"760.9";"";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"20.2";"";"";"";"";"";"";"10.0";"21.3";"";"";"";"";"";"";
